DETAILS,MALES_UNDER5,FEMALES_UNDER5,TOTPOP,WHITE,BLACK,ASIAN,HISPANIC,BELOW_POVERTY_LINE,MEDIAN_INCOME,TOTAL_OCCUPIED_HOUSES,HOMEOWNER_OCCUPIED_HOUSES,SAME_HOUSE_AS_LAST_YEAR,POP_OVER25,LESS_THAN_HS,BACHELOR_OR_GREATER,STATE,COUNTY,TRACT
Census Tract 404.02; Cook County; Illinois,148,94,4581,3598,153,158,749,326,94132,2533,735,3193,3992,31,3082,17,031,040402
Census Tract 406; Cook County; Illinois,65,91,2785,2220,139,26,426,225,97596,1283,467,2100,2204,62,1723,17,031,040600
Census Tract 407; Cook County; Illinois,128,121,3749,2775,123,424,291,326,105400,1676,763,3173,2720,96,2069,17,031,040700
Census Tract 408; Cook County; Illinois,28,16,1577,1265,28,76,299,75,105500,768,326,1324,1316,37,952,17,031,040800
Census Tract 409; Cook County; Illinois,33,14,2006,1717,2,62,265,91,79803,1167,403,1647,1613,25,1223,17,031,040900
Census Tract 501; Cook County; Illinois,23,73,2513,2197,71,39,148,107,123929,1160,449,1978,1907,29,1575,17,031,050100
Census Tract 502; Cook County; Illinois,301,90,5546,4515,54,302,791,301,138546,2061,1311,5051,3763,266,2962,17,031,050200
Census Tract 503; Cook County; Illinois,57,65,2829,1850,29,483,493,129,163625,1086,703,2655,2079,26,1402,17,031,050300
Census Tract 505; Cook County; Illinois,312,237,5199,4448,2,351,271,96,142548,1996,1240,4393,3544,42,2960,17,031,050500
Census Tract 506; Cook County; Illinois,67,58,2232,1957,16,90,163,105,109188,1151,580,1858,1731,0,1508,17,031,050600
Census Tract 507; Cook County; Illinois,48,63,1456,1262,0,18,163,139,125438,671,340,1033,1093,4,967,17,031,050700
Census Tract 508; Cook County; Illinois,93,105,1398,914,54,58,319,10,172888,513,238,1138,871,31,634,17,031,050800
Census Tract 509; Cook County; Illinois,20,53,1388,1122,38,39,239,31,130769,608,255,1161,1026,49,755,17,031,050900
Census Tract 510; Cook County; Illinois,103,77,1707,1337,36,158,203,58,180500,718,462,1385,1227,26,983,17,031,051000
Census Tract 511; Cook County; Illinois,100,173,1905,1391,21,80,378,148,159145,727,400,1476,1264,43,1001,17,031,051100
Census Tract 512; Cook County; Illinois,58,27,1576,1251,45,90,153,91,166771,637,265,1169,1149,14,1005,17,031,051200
Census Tract 513; Cook County; Illinois,207,92,3077,2449,237,45,527,61,218403,1072,839,2387,1964,28,1665,17,031,051300
Census Tract 514; Cook County; Illinois,103,225,2535,1673,234,385,299,256,154044,1029,636,1837,1717,65,1226,17,031,051400
Census Tract 601; Cook County; Illinois,201,168,3178,2606,7,259,360,89,135272,1273,765,2418,2246,50,1978,17,031,060100
Census Tract 602; Cook County; Illinois,116,67,2147,1641,103,33,373,169,89167,1140,424,1595,1745,25,1409,17,031,060200
Census Tract 603; Cook County; Illinois,76,86,2821,2220,54,168,420,111,140125,1181,527,2194,2131,15,1598,17,031,060300
Census Tract 604; Cook County; Illinois,183,265,3691,3156,45,194,357,103,162011,1613,827,2786,2616,20,2228,17,031,060400
Census Tract 605; Cook County; Illinois,7,26,1287,970,60,183,108,348,54250,695,166,1000,982,152,537,17,031,060500
Census Tract 608; Cook County; Illinois,144,0,5319,3609,194,766,637,378,81156,3598,1595,4138,4476,58,3435,17,031,060800
Census Tract 609; Cook County; Illinois,206,75,6943,5595,142,541,654,513,83601,4795,2047,5000,5732,107,4703,17,031,060900
Census Tract 610; Cook County; Illinois,72,25,2324,1734,49,394,226,355,127872,1109,317,1554,1698,131,1334,17,031,061000
Census Tract 611; Cook County; Illinois,34,20,1436,1154,54,27,215,80,108158,724,213,888,923,0,771,17,031,061100
Census Tract 612; Cook County; Illinois,57,32,2052,1751,74,69,261,145,109479,869,338,1422,1433,67,1157,17,031,061200
Census Tract 615; Cook County; Illinois,28,44,2023,1657,83,81,117,147,133000,894,342,1377,1455,7,1239,17,031,061500
Census Tract 618; Cook County; Illinois,34,5,1204,924,28,153,150,152,69250,735,138,835,921,0,704,17,031,061800
Census Tract 619.01; Cook County; Illinois,29,15,3517,2529,276,274,484,723,61563,2593,580,2662,3092,51,2285,17,031,061901
Census Tract 619.02; Cook County; Illinois,44,49,4938,3782,307,672,308,365,86805,2916,902,3676,3948,46,3372,17,031,061902
Census Tract 620; Cook County; Illinois,115,54,2890,2311,125,108,237,153,110250,1644,459,1882,2158,0,1897,17,031,062000
Census Tract 621; Cook County; Illinois,106,39,3646,2909,139,313,355,308,99212,2009,566,2247,2535,19,2146,17,031,062100
Census Tract 622; Cook County; Illinois,353,131,3152,2652,29,204,439,242,198333,1274,750,2338,2050,37,1825,17,031,062200
Census Tract 623; Cook County; Illinois,43,107,1609,1362,15,83,104,69,227750,609,359,1177,910,6,843,17,031,062300
Census Tract 624; Cook County; Illinois,133,113,1799,1488,95,46,155,86,162500,762,499,1435,1299,47,1085,17,031,062400
Census Tract 625; Cook County; Illinois,32,41,1420,1138,50,169,173,200,145903,681,450,1001,997,32,811,17,031,062500
Census Tract 626; Cook County; Illinois,107,81,2371,1890,40,207,219,63,195357,934,641,1765,1565,33,1390,17,031,062600
Census Tract 627; Cook County; Illinois,68,144,3046,2510,43,181,156,227,151080,1331,606,2316,2218,31,1987,17,031,062700
Census Tract 628; Cook County; Illinois,112,153,3682,3056,55,190,324,144,166538,1504,736,2761,2512,33,2253,17,031,062800
Census Tract 629; Cook County; Illinois,134,109,4138,3065,259,228,415,136,159088,1901,899,3241,2987,9,2497,17,031,062900
Census Tract 630; Cook County; Illinois,47,88,3280,2624,135,126,274,294,104052,1836,633,2149,2541,81,2209,17,031,063000
Census Tract 631; Cook County; Illinois,29,52,2352,2056,0,113,125,174,99483,1386,351,1489,1776,43,1572,17,031,063100
Census Tract 632; Cook County; Illinois,67,93,6380,5459,374,263,425,112,81020,4413,1440,4269,5520,46,4883,17,031,063200
Census Tract 633.01; Cook County; Illinois,29,56,2992,2177,182,237,439,621,66447,2032,251,1744,2239,81,1859,17,031,063301
Census Tract 633.02; Cook County; Illinois,18,265,4102,3483,152,339,175,188,94173,2769,743,2683,3423,39,3058,17,031,063302
Census Tract 633.03; Cook County; Illinois,19,11,1198,941,13,211,24,111,102500,866,442,1005,1118,6,908,17,031,063303
Census Tract 634; Cook County; Illinois,32,17,2435,2000,103,177,220,140,95833,1334,219,1689,1469,0,1264,17,031,063400
Census Tract 701.01; Cook County; Illinois,140,88,4583,3789,94,180,480,479,93523,2689,975,3104,3636,110,2911,17,031,070101
Census Tract 701.02; Cook County; Illinois,17,80,2980,2252,247,245,167,169,92641,1902,710,2009,2276,17,2023,17,031,070102
Census Tract 701.03; Cook County; Illinois,0,0,1439,1150,107,117,120,218,78125,1129,70,900,924,0,806,17,031,070103
Census Tract 702; Cook County; Illinois,31,14,4019,3130,118,276,415,207,108083,2107,722,2699,3081,62,2450,17,031,070200
Census Tract 703; Cook County; Illinois,84,56,3818,3382,70,134,185,464,191051,1667,736,2491,2405,0,2320,17,031,070300
Census Tract 704; Cook County; Illinois,83,163,3421,2955,9,272,177,357,243795,1457,742,2711,2210,94,1924,17,031,070400
Census Tract 705; Cook County; Illinois,84,79,3185,2789,119,75,140,47,186757,1266,743,2558,2333,52,1888,17,031,070500
Census Tract 706; Cook County; Illinois,172,75,3194,2649,23,255,176,182,250001,1201,751,2556,2214,48,2016,17,031,070600
Census Tract 707; Cook County; Illinois,147,173,3741,2527,314,482,536,256,160000,1692,952,2824,2732,137,2107,17,031,070700
Census Tract 710; Cook County; Illinois,68,93,4525,3841,231,241,293,260,202115,996,483,2848,1732,9,1531,17,031,071000
Census Tract 711; Cook County; Illinois,62,18,3186,2672,40,244,318,101,206304,1091,492,2273,1655,0,1535,17,031,071100
Census Tract 712; Cook County; Illinois,122,86,2386,1863,52,238,197,337,125581,1118,577,1716,1759,32,1579,17,031,071200
Census Tract 713; Cook County; Illinois,43,75,4129,3230,29,559,220,604,118878,2152,1120,2947,2938,9,2678,17,031,071300
Census Tract 714; Cook County; Illinois,0,62,4763,4023,257,181,204,809,118295,2951,1369,3292,3711,158,3131,17,031,071400
Census Tract 715; Cook County; Illinois,37,94,5991,5297,114,389,236,307,115993,3678,1201,4429,5162,16,4502,17,031,071500
Census Tract 716; Cook County; Illinois,72,135,1903,1592,102,143,77,120,230313,742,488,1670,1226,15,1034,17,031,071600
Census Tract 717; Cook County; Illinois,35,26,1485,1097,165,165,27,124,149625,585,374,1201,1083,17,877,17,031,071700
Census Tract 718; Cook County; Illinois,86,37,2726,2267,218,145,200,110,211964,1083,699,2022,2031,103,1643,17,031,071800
Census Tract 801; Cook County; Illinois,30,9,6607,5823,47,425,272,504,114681,4209,2326,5220,5877,57,4996,17,031,080100
Census Tract 802.01; Cook County; Illinois,0,0,3236,2901,0,143,65,64,112708,2330,1435,2682,2998,15,2466,17,031,080201
Census Tract 802.02; Cook County; Illinois,46,36,3800,3352,60,211,307,381,103948,2649,1245,2768,3319,14,2947,17,031,080202
Census Tract 803; Cook County; Illinois,40,101,5836,4101,33,904,628,518,157112,3063,1366,3967,4521,76,3884,17,031,080300
Census Tract 804; Cook County; Illinois,186,342,4888,1657,2310,508,158,1045,-666666666,2110,842,4049,3155,186,1989,17,031,080400
Census Tract 810; Cook County; Illinois,80,0,8150,5706,862,1115,658,1295,79556,5052,746,5395,6070,289,4155,17,031,081000
Census Tract 811; Cook County; Illinois,90,11,4455,3381,397,324,161,829,82039,2999,618,3284,3471,71,2774,17,031,081100
Census Tract 812.01; Cook County; Illinois,62,0,4428,3598,77,530,222,155,128955,2881,1230,3074,3716,11,3211,17,031,081201
Census Tract 812.02; Cook County; Illinois,72,82,3437,2917,115,75,132,123,177619,2038,1558,3155,3062,9,2776,17,031,081202
Census Tract 813; Cook County; Illinois,62,66,6014,4296,353,958,371,561,116424,3783,2314,4588,5179,45,4284,17,031,081300
Census Tract 814.01; Cook County; Illinois,36,15,2171,1453,57,483,166,198,74432,1452,659,1546,1736,0,1408,17,031,081401
Census Tract 814.02; Cook County; Illinois,113,131,5942,3393,334,1718,685,610,159026,3462,1268,3642,4618,76,4176,17,031,081402
Census Tract 814.03; Cook County; Illinois,93,123,8987,5123,146,3186,397,1178,114052,6371,1235,5515,7502,34,7007,17,031,081403
Census Tract 815; Cook County; Illinois,126,0,4906,2820,216,1626,254,330,151626,3365,1762,3803,4258,18,3923,17,031,081500
Census Tract 816; Cook County; Illinois,85,30,3725,2934,87,430,172,141,157623,2521,901,2439,3220,0,2924,17,031,081600
Census Tract 817; Cook County; Illinois,39,37,5217,3589,189,729,642,420,132903,3535,847,3004,4304,11,3882,17,031,081700
Census Tract 818; Cook County; Illinois,187,265,12213,9109,249,863,1441,699,164091,7384,3158,8799,10350,73,9655,17,031,081800
Census Tract 819; Cook County; Illinois,22,55,1111,768,179,76,108,173,195083,635,290,823,914,59,733,17,031,081900
Census Tract 901; Cook County; Illinois,136,96,3526,3190,10,94,502,336,124667,1386,1238,3192,2554,62,1333,17,031,090100
Census Tract 902; Cook County; Illinois,156,353,6505,5554,40,84,971,284,119421,2619,1939,5865,4704,138,2638,17,031,090200
Census Tract 903; Cook County; Illinois,54,71,1371,1174,0,0,201,106,107639,510,409,1275,971,5,585,17,031,090300
Census Tract 1001; Cook County; Illinois,217,170,5890,4653,0,433,1358,636,109111,2145,1653,5541,4148,241,1914,17,031,100100
Census Tract 1002; Cook County; Illinois,466,77,7564,5160,212,414,2103,475,107850,2851,1892,6228,5164,246,2390,17,031,100200
Census Tract 1003; Cook County; Illinois,81,162,6447,5720,137,208,863,663,83271,2659,1773,6051,4817,341,2228,17,031,100300
Census Tract 1004; Cook County; Illinois,68,112,3325,2655,5,281,431,69,143137,1276,1234,3201,2295,154,1222,17,031,100400
Census Tract 1005; Cook County; Illinois,245,186,5814,4379,49,591,692,76,109564,2357,2111,5313,4308,324,2201,17,031,100500
Census Tract 1006; Cook County; Illinois,115,278,4914,3353,0,455,1563,515,84000,1870,1421,4277,3374,328,1341,17,031,100600
Census Tract 1007; Cook County; Illinois,184,159,5372,4400,106,412,802,488,117240,1885,1749,5070,3860,353,1328,17,031,100700
Census Tract 1101; Cook County; Illinois,280,191,5776,3974,34,1126,1143,655,96514,2252,1491,5137,4129,320,1908,17,031,110100
Census Tract 1102; Cook County; Illinois,125,32,2821,1859,201,163,1012,199,68824,1302,658,2327,2185,188,585,17,031,110200
Census Tract 1103; Cook County; Illinois,125,223,5304,3808,11,390,1248,427,115833,1774,1527,4717,3624,218,1448,17,031,110300
Census Tract 1104; Cook County; Illinois,52,152,4501,2977,58,442,1084,322,81250,1925,1296,4019,3360,247,1382,17,031,110400
Census Tract 1105.01; Cook County; Illinois,108,84,5097,3091,269,812,1555,414,101220,1939,1215,4581,3956,383,1650,17,031,110501
Census Tract 1105.02; Cook County; Illinois,92,117,3533,2232,122,474,752,366,71440,1549,1052,3190,2562,236,1195,17,031,110502
Census Tract 1201; Cook County; Illinois,128,37,4400,3791,4,278,329,88,160461,1491,1448,4109,3195,78,2149,17,031,120100
Census Tract 1202; Cook County; Illinois,142,219,4573,3861,60,414,172,80,149306,1746,1505,4324,3201,107,1969,17,031,120200
Census Tract 1203; Cook County; Illinois,382,273,7046,5730,19,889,679,212,140988,2542,2433,6463,4864,227,2980,17,031,120300
Census Tract 1204; Cook County; Illinois,141,82,3836,2115,110,616,959,403,111750,1254,1068,3650,2627,209,1097,17,031,120400
Census Tract 1301; Cook County; Illinois,175,254,4895,3290,101,1317,284,937,58068,1752,1046,4561,3507,360,1831,17,031,130100
Census Tract 1302; Cook County; Illinois,97,6,1545,943,15,184,524,117,104107,711,589,1390,1141,70,618,17,031,130200
Census Tract 1303; Cook County; Illinois,168,216,5040,2154,159,1808,1192,556,66154,1792,768,4606,3480,469,1622,17,031,130300
Census Tract 1401; Cook County; Illinois,101,182,3520,1884,125,193,1361,334,86795,1195,383,2861,2119,326,1063,17,031,140100
Census Tract 1402; Cook County; Illinois,121,202,6603,2368,573,1259,2732,979,72629,1953,636,5224,3906,866,1680,17,031,140200
Census Tract 1403.01; Cook County; Illinois,113,74,2908,538,52,836,1643,594,69712,905,246,2615,1986,819,527,17,031,140301
Census Tract 1403.02; Cook County; Illinois,60,115,3311,1516,210,506,1129,395,62478,1323,518,2839,2659,572,898,17,031,140302
Census Tract 1404; Cook County; Illinois,143,334,5911,3475,97,1408,1820,495,93036,2100,1665,5572,4230,483,2133,17,031,140400
Census Tract 1405; Cook County; Illinois,83,81,3171,1400,165,409,1155,191,73273,1322,565,2970,2442,296,680,17,031,140500
Census Tract 1406.01; Cook County; Illinois,15,144,2762,1062,294,450,1196,317,87045,826,361,2482,1893,488,564,17,031,140601
Census Tract 1406.02; Cook County; Illinois,53,155,4703,1729,401,517,2832,1325,59962,1723,501,3544,3128,515,1289,17,031,140602
Census Tract 1407.01; Cook County; Illinois,77,53,2990,989,121,591,1552,192,92212,1087,435,2567,2176,547,740,17,031,140701
Census Tract 1407.02; Cook County; Illinois,167,95,5572,2221,175,402,3664,699,73571,2106,717,4865,3669,853,1449,17,031,140702
Census Tract 1408; Cook County; Illinois,128,217,6212,4223,9,502,1999,647,97722,2538,1063,5070,4438,475,2798,17,031,140800
Census Tract 1502; Cook County; Illinois,324,205,7263,4529,175,538,2204,1165,91038,2684,1525,6319,5399,756,2565,17,031,150200
Census Tract 1503; Cook County; Illinois,166,150,7272,5559,119,372,1703,460,86290,3077,1655,6306,5139,321,2486,17,031,150300
Census Tract 1504.01; Cook County; Illinois,144,156,5146,3378,60,533,1495,515,77908,1824,1062,4506,3618,385,1596,17,031,150401
Census Tract 1504.02; Cook County; Illinois,88,191,3945,2439,201,215,1645,303,97986,1348,829,3727,2697,294,873,17,031,150402
Census Tract 1505.01; Cook County; Illinois,145,79,3854,2614,36,525,937,189,122434,1496,1172,3641,2867,178,1403,17,031,150501
Census Tract 1505.02; Cook County; Illinois,65,174,3953,2370,106,502,1415,287,72500,1536,1065,3694,2836,268,938,17,031,150502
Census Tract 1506; Cook County; Illinois,287,120,4223,2503,77,205,1883,300,81923,1432,1000,3627,2905,210,747,17,031,150600
Census Tract 1507; Cook County; Illinois,32,126,4453,2988,57,166,2221,293,100862,1382,1023,4308,2999,380,1032,17,031,150700
Census Tract 1508; Cook County; Illinois,212,52,4668,2115,134,55,2476,656,85714,1618,1123,4191,3505,755,920,17,031,150800
Census Tract 1510.01; Cook County; Illinois,200,123,2816,1293,0,104,2048,301,93879,886,532,2581,1805,362,418,17,031,151001
Census Tract 1510.02; Cook County; Illinois,198,75,4892,1873,70,80,3494,536,75893,1572,695,4675,3258,483,755,17,031,151002
Census Tract 1511; Cook County; Illinois,151,66,5447,2855,59,266,3198,609,77521,1855,990,4870,3723,521,968,17,031,151100
Census Tract 1512; Cook County; Illinois,93,10,4057,2468,16,239,1783,386,88939,1334,1065,3581,2942,330,840,17,031,151200
Census Tract 1601; Cook County; Illinois,94,124,2757,1671,0,531,654,144,107137,1024,670,2623,1907,200,986,17,031,160100
Census Tract 1602; Cook County; Illinois,202,75,3356,2550,120,171,886,44,124364,1276,885,2887,2379,98,1472,17,031,160200
Census Tract 1603; Cook County; Illinois,75,242,3685,2269,209,702,550,605,77721,1883,828,2890,2882,457,1397,17,031,160300
Census Tract 1604; Cook County; Illinois,305,73,5171,3186,227,340,1758,576,72325,2101,988,4383,3774,415,1777,17,031,160400
Census Tract 1605.01; Cook County; Illinois,54,42,3270,1480,509,240,1583,216,73946,1312,550,3074,2352,369,1137,17,031,160501
Census Tract 1605.02; Cook County; Illinois,98,278,4012,2114,108,383,2205,294,100147,1542,829,3505,2746,503,1101,17,031,160502
Census Tract 1606.01; Cook County; Illinois,204,123,3003,1813,34,293,829,126,83333,1488,822,2449,2233,106,1304,17,031,160601
Census Tract 1606.02; Cook County; Illinois,57,86,3757,2109,95,306,1435,431,84955,1576,905,3253,2759,228,1374,17,031,160602
Census Tract 1607; Cook County; Illinois,194,153,6265,3141,281,1006,2454,340,92614,2460,1118,4766,4805,694,1846,17,031,160700
Census Tract 1608; Cook County; Illinois,251,118,5236,2899,34,216,3185,312,82691,1863,818,4566,3559,862,1392,17,031,160800
Census Tract 1609; Cook County; Illinois,53,76,2420,1573,75,290,525,76,114861,1089,691,2237,1845,51,1203,17,031,160900
Census Tract 1610; Cook County; Illinois,96,64,1986,1563,35,141,440,236,102159,800,393,1668,1441,64,913,17,031,161000
Census Tract 1611; Cook County; Illinois,145,69,2024,1475,179,53,363,117,158393,758,575,1737,1353,72,876,17,031,161100
Census Tract 1612; Cook County; Illinois,97,93,2873,1438,130,269,1614,467,70391,1097,656,2503,2084,285,691,17,031,161200
Census Tract 1613; Cook County; Illinois,129,85,3769,1904,39,147,2172,623,53969,1557,629,3325,2659,501,882,17,031,161300
Census Tract 1701; Cook County; Illinois,0,27,2030,1715,79,109,196,464,46571,1146,901,1718,1763,208,475,17,031,170100
Census Tract 1702; Cook County; Illinois,61,84,3752,2607,4,82,1726,179,105855,1216,1059,3365,2567,178,761,17,031,170200
Census Tract 1703; Cook County; Illinois,48,44,4981,2996,0,357,1739,222,85774,1821,1384,4955,3502,405,881,17,031,170300
Census Tract 1704; Cook County; Illinois,108,14,3989,2786,201,187,1191,276,103016,1666,1445,3733,3067,288,1050,17,031,170400
Census Tract 1705; Cook County; Illinois,84,113,5161,3629,104,361,1462,122,87786,2066,1505,4496,3793,334,1164,17,031,170500
Census Tract 1706; Cook County; Illinois,61,96,2490,1849,33,232,556,215,76346,948,857,2260,1791,184,471,17,031,170600
Census Tract 1707; Cook County; Illinois,36,94,3260,2465,12,70,1038,184,82868,1167,897,3042,2263,308,567,17,031,170700
Census Tract 1708; Cook County; Illinois,59,79,4009,2621,330,210,1365,339,64769,1461,1158,3479,2870,302,705,17,031,170800
Census Tract 1709; Cook County; Illinois,81,54,1970,1122,0,21,1020,510,68500,652,425,1746,1248,136,339,17,031,170900
Census Tract 1710; Cook County; Illinois,197,140,6829,4224,389,555,2296,604,81950,2751,2091,6561,5106,301,1535,17,031,171000
Census Tract 1711; Cook County; Illinois,32,136,4103,2492,122,268,2031,226,92383,1305,958,3594,2802,509,445,17,031,171100
Census Tract 1801; Cook County; Illinois,232,119,6544,3397,350,231,3469,1064,83920,2198,1447,5499,4646,603,934,17,031,180100
Census Tract 1901; Cook County; Illinois,86,18,2338,633,68,24,2052,129,61250,808,222,1953,1516,442,267,17,031,190100
Census Tract 1902; Cook County; Illinois,218,234,5858,1801,415,206,4415,993,80576,1599,911,5465,3777,797,928,17,031,190200
Census Tract 1903; Cook County; Illinois,134,73,5289,2722,265,206,3223,785,69309,2008,1018,5065,3875,1113,812,17,031,190300
Census Tract 1904.01; Cook County; Illinois,153,55,4119,1312,201,357,2608,399,92639,1278,1003,3766,2936,603,681,17,031,190401
